,0
2077,appeals
2078,district
2079,court
2080,invoke
2081,nuclear
2082,option
2083,seen
2084,pattern
2085,see
2086,filibusters
2087,judicial
2088,nominees
2089,republicans
2090,president
2091,obama
2092,saw
2093,whole
2094,history
2095,united
2096,state
2097,senate
2098,sides
2099,blame
2100,right
2101,want
2102,get
2103,one
2104,last
2105,subject
2106,time
2107,left
2108,get
2109,back
2110,two
2111,week
2112,recess
2113,taking
2114,going
2115,less
2116,one
2117,week
2118,pass
2119,spending
2120,bill
2121,failed
2122,government
2123,going
2124,shut
2125,senator
2126,cardin
2127,white
2128,house
2129,insist
2130,point
2131,including
2132,funding
2133,building
2134,wall
2135,along
2136,southern
2137,border
2138,sharp
2139,domestic
2140,spending
2141,cuts
2142,order
2143,offset
2144,defense
2145,spending
2146,increase
2147,block
2148,even
2149,means
2150,government
2151,shutdown
2152,well
2153,first
2154,sure
2155,president
2156,majority
2157,united
2158,states
2159,senate
2160,support
2161,funding
2162,wall
2163,talked
2164,enough
2165,republicans
2166,know
2167,said
2168,publicly
2169,waste
2170,money
2171,counterproductive
2172,think
2173,senate
2174,carry
2175,hopefully
2176,provide
2177,money
2178,taxpayer
2179,money
2180,building
2181,wall
2182,answer
2183,direct
2184,question
2185,choice
2186,putting
2187,money
2188,wall
2189,domestic
2190,spending
2191,cuts
2192,would
2193,go
2194,shutdown
2195,want
2196,see
2197,government
2198,want
2199,see
2200,government
2201,shutdown
2202,willing
2203,make
2204,compromises
2205,order
2206,keep
2207,government
2208,functioning
2209,take
2210,look
2211,trade
2212,offs
2213,answer
2214,fact
2215,see
2216,everything
2217,bill
2218,senator
2219,cornyn
2220,issues
2221,mentioned
2222,worth
2223,shutting
2224,government
2225,would
2226,support
2227,leaving
2228,order
2229,keep
2230,government
2231,functioning
2232,think
2233,test
2234,new
2235,democratic
2236,leader
2237,senator
2238,chuck
2239,schumer
2240,well
2241,administration
2242,going
2243,ones
2244,ultimately
2245,negotiate
2246,going
2247,shutdown
2248,confident
2249,come
2250,something
2251,everybody
2252,live
2253,senator
2254,cornyn
2255,senator
2256,cardin
2257,thank
2258,thanks
2259,joining
2260,us
2261,today
2262,thanks
2263,time
2264,thanks
2265,chris
2266,next
2267,bring
2268,sunday
2269,group
2270,discuss
2271,president
2272,trump
2273,military
2274,strike
2275,gorsuch
2276,vote
2277,drama
2278,inside
2279,white
2280,house
2281,plus
2282,would
2283,like
2284,ask
2285,panel
2286,decision
2287,hit
2288,syria
2289,mean
2290,president
2291,foreign
2292,policy
2293,go
2294,facebook
2295,twitter
2296,foxnewssunday
2297,may
2298,use
2299,question
2300,air
2301,coming
2302,senate
2303,republicans
2304,invoked
2305,nuclear
2306,option
2307,confirm
2308,president
2309,trump
2310,nominate
2311,neil
2312,gorsuch
2313,supreme
2314,court
2315,think
2316,good
2317,day
2318,senate
2319,great
2320,day
2321,country
2322,ask
2323,sunday
2324,panel
2325,gop
2326,action
2327,affect
2328,future
2329,openings
2330,high
2331,court
2332,next
2333,kill
2334,innocent
2335,children
2336,innocent
2337,babies
2338,babies
2339,little
2340,babies
2341,chemical
2342,gas
2343,lethal
2344,people
2345,shocked
2346,hear
2347,gas
2348,crosses
2349,many
2350,many
2351,lines
2352,beyond
2353,red
2354,line
2355,many
2356,many
2357,lines
2358,president
2359,trump
2360,explaining
2361,sudden
2362,change
2363,policy
2364,towards
2365,assad
2366,regime
2367,one
2368,day
2369,ordering
2370,strike
2371,syrian
2372,air
2373,base
2374,time
2375,sunday
2376,group
2377,bill
2378,kristol
2379,weekly
2380,standard
2381,fox
2382,news
2383,political
2384,analyst
2385,columnist
2386,hill
2387,juan
2388,williams
2389,mo
2390,elleithee
2391,georgetown
2392,university
2393,institute
2394,politics
2395,public
2396,service
2397,washington
2398,examiner
2399,contributor
2400,lisa
2401,boothe
2402,phil
2403,heard
2404,general
2405,mcmaster
2406,national
2407,security
2408,advisor
2409,top
2410,show
2411,satisfied
2412,administration
2413,clear
2414,strategy
2415,going
2416,forward
2417,syria
2418,particularly
2419,question
2420,asked
2421,chemical
2422,weapons
2423,president
2424,prepared
2425,act
2426,conventional
2427,means
2428,slaughter
2429,civilians
2430,think
2431,least
2432,done
2433,done
2434,lay
2435,predicate
2436,clear
2437,strategy
2438,worked
2439,acted
2440,would
2441,even
2442,worse
2443,shape
2444,president
2445,obama
2446,enforce
2447,red
2448,line
2449,visible
2450,violation
2451,national
2452,norms
2453,syria
2454,committed
2455,allegedly
2456,got
2457,rid
2458,chemical
2459,weapons
2460,let
2461,work
2462,strategy
2463,lot
2464,confidence
2465,mcmaster
2466,think
2467,historians
2468,trump
2469,administration
2470,ends
2471,non
2472,disastrously
2473,replacement
2474,non
2475,disastrously
2476,standard
2477,trump
2478,yes
2479,believable
2480,ph
2481,hopeful
2482,get
2483,wrong
2484,hopeful
2485,replacement
2486,mike
2487,flynn
2488,mcmaster
2489,national
2490,security
2491,advisor
2492,could
2493,really
2494,important
2495,moment
2496,looking
2497,outside
2498,struck
2499,think
2500,noted
2501,chris
2502,week
